time,uninter_price,counts,location,tier,distance,sign,type,age,land_square,building_square,room,hall,toilet,total_price,berth_square,berth_price,intered_price
10341,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,47918
10342,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,47918
10343,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,47918
10344,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,47918
10345,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,47918
10346,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,47918
10347,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,47918
10348,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,47918
10349,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,47918
10350,49899,1,8,4,88.83,1,2,0,10,79,3,0,3,2,0,0,49899
10351,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,47918
10352,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,47918
10353,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,47918
10410,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,43416
10411,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,43416
